EQ,group
798,127
799,128
800,129
801,130
802,75
803,3
804,1
805,11
806,1
807,9
808,2
809,4
810,6
811,17
812,17
813,131
814,2
815,4
816,4
817,132
818,7
819,133
820,96
821,134
822,134
823,4
824,135
825,136
826,136
827,11
828,3
829,137
830,59
831,13
832,13
833,13
834,3
835,11
836,92
837,24
838,134
839,19
840,16
841,73
842,73
843,24
844,138
845,3
846,7
847,139
848,46
849,19
850,91
851,46
852,140
853,7
854,21
855,91
856,46
857,141
858,142
859,143
860,7
861,46
862,3
863,68
864,19
865,144
866,51
867,145
868,145
869,146
870,147
871,148
872,29
873,38
874,7
875,21
876,3
877,3
878,7
879,147
880,46
881,46
882,37
883,37
884,149
885,150
886,7
887,3
888,151
889,8
890,21
891,3
892,29
893,151
894,2
895,86
896,40
897,152
898,153
899,46
900,7
901,7
902,92
903,96
904,154
905,0
906,88
907,7
908,18
909,18
910,155
911,16
912,45
913,3
914,3
915,109
916,21
917,75
918,156
919,156
920,157
921,158
922,159
923,37
924,37
925,160
926,148
927,161
928,55
929,99
930,7
931,46
932,21
933,57
934,91
935,157
936,157
937,147
938,25
939,155
940,46
941,147
942,3
943,24
944,42
945,43
946,7
947,55
948,46
949,46
950,12
951,19
952,32
953,7
954,46
955,46
956,3
957,7
958,1
959,25
960,25
961,157
962,19
963,19
964,162
965,109
966,28
967,163
968,45
969,3
970,62
971,148
972,161
973,42
974,43
975,164
976,46
977,11
978,165
979,46
980,100
981,100
982,23
983,1
984,166
985,12
986,7
987,7
988,3
989,134
990,151
991,13
992,167
993,3
994,46
995,99
996,3
997,46
998,46
999,3
1000,46
1001,7
1002,168
1003,141
1004,46
1005,3
1006,72
1007,72
1008,37
1009,12
1010,2
1011,143
1012,143
1013,80
1014,169
1015,2
1016,46
1017,123
1018,170
1019,170
1020,2
1021,171
1022,171
1023,151
1024,172
1025,173
1026,51
1027,51
1028,64
1029,46
1030,20
1031,161
1032,25
1033,7
1034,31
1035,20
1036,20
1037,163
1038,25
1039,25
1040,75
1041,2
1042,32
1043,146
1044,147
1045,174
1046,175
1047,20
1048,46
1049,151
1050,176
1051,71
1052,81
1053,81
1054,83
1055,151
1056,19
1057,2
1058,52
1059,52
1060,21
1061,21
1062,45
1063,177
1064,51
1065,35
1066,18
1067,76
1068,37
1069,37
1070,20
1071,146
1072,25
1073,152
1074,99
1075,148
1076,148
1077,161
1078,7
1079,151
1080,178
1081,55
1082,32
1083,24
1084,24
1085,179
1086,20
1087,25
1088,168
1089,24
1090,144
1091,46
1092,3
1093,7
1094,75
1095,41
1096,32
1097,109
1098,146
1099,46
1100,7
1101,10
1102,2
1103,75
1104,151
1105,18
1106,24
1107,46
1108,180
1109,181
1110,18
1111,18
1112,46
1113,3
1114,46
1115,165
1116,68
1117,46
1118,3
1119,46
1120,7
1121,33
1122,3
1123,3
1124,37
1125,182
1126,7
1127,3
1128,165
1129,41
1130,46
1131,30
1132,37
1133,37
1134,183
1135,144
1136,144
1137,155
1138,46
1139,46
1140,7
1141,7
1142,161
1143,7
1144,7
1145,62
1146,62
1147,62
1148,146
1149,46
1150,7
1151,168
1152,25
1153,184
1154,24
1155,185
1156,41
1157,46
1158,148
1159,158
1160,46
1161,186
1162,3
1163,46
1164,146
1165,146
1166,187
1167,188
1168,188
1169,46
1170,128
1171,129
1172,129
1173,20
1174,46
1175,46
1176,157
1177,161
1178,46
1179,46
1180,145
1181,140
1182,189
1183,190
1184,37
1185,146
1186,191
1187,7
1188,3
1189,3
1190,25
1191,158
1192,158
1193,148
1194,192
1195,145
1196,155
1197,188
1198,19
1199,46
1200,155
1201,46
1202,3
1203,46
1204,38
1205,38
1206,42
1207,42
1208,21
1209,46
1210,109
1211,19
1212,46
1213,16
1214,3
1215,19
1216,32
1217,190
1218,46
1219,46
1220,46
1221,23
1222,82
1223,193
1224,194
1225,195
1226,7
1227,196
1228,55
1229,54
1230,182
1231,7
1232,148
1233,46
1234,3
1235,3
1236,46
1237,46
1238,7
1239,2
1240,6
1241,42
1242,146
1243,146
1244,147
1245,148
1246,197
1247,38
1248,198
1249,46
1250,46
1251,109
1252,81
1253,81
1254,16
1255,46
1256,157
1257,7
1258,7
1259,25
1260,157
1261,199
1262,190
1263,21
1264,7
1265,168
1266,3
1267,3
1268,155
1269,200
1270,7
1271,37
1272,151
1273,3
1274,19
1275,155
1276,201
1277,146
1278,3
1279,20
1280,19
1281,2
1282,7
1283,46
1284,32
1285,176
1286,202
1287,20
1288,57
1289,68
1290,148
1291,158
1292,158
1293,68
1294,151
1295,40
1296,45
1297,25
1298,25
1299,203
1300,203
1301,32
1302,204
1303,205
1304,148
1305,188
1306,176
1307,182
1308,206
1309,190
1310,46
1311,32
1312,46
1313,166
1314,41
1315,146
1316,55
1317,155
1318,155
1319,207
1320,95
1321,146
1322,208
1323,209
1324,3
1325,51
1326,51
1327,19
1328,41
1329,109
1330,155
1331,143
1332,3
1333,46
1334,46
1335,7
1336,57
1337,99
1338,46
1339,46
1340,174
1341,109
1342,46
1343,210
1344,42
1345,46
1346,46
1347,109
1348,211
1349,211
1350,148
1351,212
1352,182
1353,188
1354,148
1355,161
1356,19
1357,7
1358,7
1359,7
1360,19
1361,46
1362,163
1363,163
1364,109
1365,7
1366,40
1367,153
1368,145
1369,46
1370,19
1371,37
1372,37
1373,160
1374,213
1375,146
1376,199
1377,199
1378,46
1379,192
1380,192
1381,46
1382,196
1383,214
1384,63
1385,7
1386,3
1387,46
1388,46
1389,155
1390,200
1391,38
1392,7
1393,38
1394,3
1395,7
1396,148
1397,148
1398,212
1399,215
1400,216
1401,206
1402,217
1403,3
1404,3
1405,37
1406,41
1407,32
1408,218
1409,219
