EQ,group
2993,221
2994,275
2995,496
2996,11
2997,28
2998,324
2999,275
3000,437
3001,163
3002,497
3003,498
3004,352
3005,403
3006,324
3007,168
3008,499
3009,290
3010,500
3011,270
3012,270
3013,38
3014,442
3015,161
3016,161
3017,355
3018,355
3019,285
3020,285
3021,442
3022,275
3023,270
3024,324
3025,232
3026,166
3027,251
3028,275
3029,437
3030,437
3031,111
3032,275
3033,275
3034,275
3035,275
3036,275
3037,6
3038,6
3039,373
3040,373
3041,324
3042,501
3043,324
3044,442
3045,469
3046,37
3047,37
3048,440
3049,469
3050,469
3051,502
3052,437
3053,442
3054,415
3055,324
3056,324
3057,275
3058,378
3059,7
3060,427
3061,415
3062,442
3063,503
3064,7
3065,7
3066,504
3067,505
3068,469
3069,415
3070,262
3071,262
3072,506
3073,422
3074,507
3075,494
3076,51
3077,244
3078,64
3079,161
3080,161
3081,357
3082,503
3083,415
3084,415
3085,378
3086,322
3087,491
3088,368
3089,508
3090,509
3091,510
3092,511
3093,512
3094,513
3095,415
3096,470
3097,469
3098,275
3099,514
3100,515
3101,516
3102,517
3103,505
3104,518
3105,519
3106,519
3107,517
3108,506
3109,506
3110,442
3111,275
3112,469
3113,258
3114,520
3115,442
3116,16
3117,96
3118,464
3119,275
3120,521
3121,442
3122,522
3123,442
3124,469
3125,357
3126,523
3127,442
3128,270
3129,431
3130,275
3131,16
3132,469
3133,469
3134,469
3135,469
3136,324
3137,3
3138,442
3139,469
3140,524
3141,503
3142,525
3143,491
3144,415
3145,355
3146,355
3147,526
3148,10
3149,469
3150,506
3151,524
3152,527
3153,528
3154,529
3155,530
3156,469
3157,531
3158,532
3159,505
3160,469
3161,3
3162,180
3163,519
3164,533
3165,526
3166,534
3167,535
3168,398
3169,532
3170,466
3171,469
3172,536
3173,505
3174,537
3175,494
3176,537
3177,538
3178,505
3179,505
3180,302
3181,506
3182,205
3183,538
3184,469
3185,469
3186,56
3187,454
3188,507
3189,539
3190,460
3191,192
3192,442
3193,494
3194,540
3195,87
3196,494
3197,357
3198,464
3199,539
3200,469
3201,357
3202,469
3203,469
3204,517
3205,233
3206,541
3207,292
3208,442
3209,542
3210,543
3211,544
3212,463
3213,494
3214,545
3215,540
3216,275
3217,368
3218,546
3219,415
3220,7
3221,275
3222,494
3223,373
3224,537
3225,415
3226,415
3227,546
3228,494
3229,537
3230,519
3231,536
3232,505
3233,547
3234,357
3235,548
3236,539
3237,471
3238,472
3239,146
3240,24
3241,549
3242,442
3243,442
3244,550
3245,494
3246,18
3247,25
3248,25
3249,25
3250,469
3251,469
3252,469
3253,494
3254,442
3255,469
3256,469
3257,539
3258,551
3259,275
3260,404
3261,357
3262,469
3263,469
3264,552
3265,503
3266,442
3267,442
3268,464
3269,553
3270,554
3271,554
3272,355
3273,520
3274,520
3275,515
3276,505
3277,7
3278,7
3279,507
3280,506
3281,555
3282,494
3283,494
3284,357
3285,357
3286,442
3287,24
3288,556
3289,557
3290,558
3291,559
3292,538
3293,538
3294,538
3295,306
3296,560
3297,561
3298,537
3299,540
3300,540
3301,373
3302,361
3303,355
3304,503
3305,502
3306,536
3307,205
3308,442
3309,442
3310,68
3311,539
3312,539
3313,368
3314,505
3315,562
3316,503
3317,442
3318,563
3319,539
3320,564
3321,504
3322,415
3323,565
3324,548
3325,415
3326,566
3327,197
3328,197
3329,560
3330,494
3331,551
3332,551
3333,539
3334,548
3335,567
3336,158
3337,568
3338,324
3339,506
3340,442
3341,292
3342,495
3343,415
3344,415
3345,464
3346,464
3347,505
3348,464
3349,507
3350,270
3351,454
3352,507
3353,505
3354,494
3355,494
3356,507
3357,507
3358,569
3359,504
3360,569
3361,538
3362,562
3363,461
3364,546
3365,368
3366,538
3367,469
3368,504
3369,520
3370,469
3371,494
3372,564
3373,564
3374,464
3375,540
3376,546
3377,469
3378,516
3379,546
3380,494
3381,538
3382,494
3383,494
3384,570
3385,494
3386,520
3387,558
3388,571
3389,572
3390,494
3391,241
3392,275
3393,573
3394,471
3395,464
3396,464
3397,564
3398,574
3399,575
3400,252
3401,572
3402,572
3403,572
3404,539
3405,519
3406,507
3407,357
3408,538
3409,324
3410,355
3411,494
3412,494
3413,576
3414,572
3415,572
3416,538
3417,494
3418,572
3419,572
3420,445
3421,494
3422,2
3423,544
3424,531
3425,577
3426,578
3427,579
3428,539
3429,362
3430,539
3431,311
3432,580
3433,572
3434,572
3435,494
3436,452
3437,505
3438,533
3439,574
3440,442
3441,581
3442,572
3443,481
3444,538
3445,557
3446,557
3447,355
3448,494
3449,494
3450,504
3451,577
3452,494
3453,582
3454,583
3455,504
3456,464
3457,583
3458,572
3459,572
3460,539
3461,494
3462,52
3463,539
3464,539
3465,57
3466,584
3467,494
3468,585
3469,494
3470,551
3471,538
3472,538
3473,469
3474,575
3475,586
3476,538
3477,212
3478,212
3479,464
3480,587
3481,503
3482,404
3483,461
3484,571
3485,588
3486,520
3487,464
3488,431
3489,539
3490,519
3491,589
3492,551
3493,357
3494,275
3495,590
3496,590
3497,324
3498,414
3499,591
3500,415
3501,533
3502,537
3503,539
3504,539
3505,592
3506,519
3507,464
3508,292
3509,292
3510,442
3511,538
3512,560
3513,593
3514,554
3515,594
3516,475
3517,291
3518,285
3519,355
3520,536
3521,595
3522,596
3523,539
3524,461
3525,571
3526,357
3527,324
3528,55
3529,464
3530,494
3531,597
3532,598
3533,572
3534,557
3535,574
3536,599
3537,600
3538,275
3539,454
3540,601
3541,574
3542,494
3543,579
3544,602
3545,424
3546,603
3547,519
3548,519
3549,285
3550,508
3551,571
3552,571
3553,157
3554,464
3555,415
3556,521
3557,591
3558,355
3559,604
3560,449
3561,543
3562,516
3563,517
3564,538
3565,165
3566,558
3567,575
3568,605
3569,470
3570,157
3571,157
3572,505
3573,505
3574,519
3575,454
3576,520
3577,538
3578,415
3579,606
3580,469
3581,507
3582,516
3583,469
3584,469
3585,607
3586,233
3587,151
3588,608
3589,572
3590,572
3591,576
3592,190
3593,481
3594,461
3595,543
3596,609
3597,610
3598,517
3599,357
3600,275
3601,324
3602,589
3603,589
3604,25
3605,574
3606,446
3607,611
3608,275
3609,540
3610,324
3611,285
3612,538
3613,504
3614,539
3615,157
3616,612
3617,538
3618,551
3619,398
3620,519
3621,258
3622,613
3623,520
3624,574
3625,520
3626,614
3627,3
3628,580
3629,578
3630,615
3631,469
3632,245
3633,572
3634,572
3635,157
3636,616
3637,517
3638,582
3639,494
3640,494
3641,3
3642,180
3643,415
3644,539
3645,367
3646,617
3647,618
3648,619
3649,575
3650,539
3651,578
3652,620
3653,621
3654,464
3655,536
3656,519
3657,540
3658,552
3659,494
3660,622
3661,312
3662,232
3663,427
3664,529
3665,623
3666,46
3667,624
3668,285
3669,625
3670,626
3671,627
3672,275
3673,442
3674,628
3675,285
3676,464
3677,539
3678,275
3679,461
3680,415
3681,415
3682,536
3683,520
3684,551
3685,629
3686,630
3687,469
3688,631
3689,494
3690,469
3691,357
3692,368
3693,551
3694,632
3695,564
3696,484
3697,563
3698,563
3699,505
3700,461
3701,275
3702,633
3703,355
3704,475
3705,475
3706,442
3707,464
3708,634
3709,441
3710,157
3711,18
3712,635
3713,494
3714,580
3715,580
3716,636
3717,580
3718,574
3719,469
3720,505
3721,469
3722,46
3723,494
3724,449
3725,505
3726,469
3727,519
3728,458
3729,275
3730,161
3731,431
3732,25
3733,368
3734,539
3735,606
3736,457
3737,458
3738,519
3739,507
3740,571
3741,551
3742,574
3743,599
3744,161
3745,552
3746,324
3747,494
3748,637
3749,557
3750,638
3751,583
3752,639
3753,639
3754,538
3755,576
3756,628
3757,324
3758,469
3759,469
3760,458
3761,373
3762,373
3763,537
3764,233
3765,640
3766,505
3767,641
3768,641
3769,642
3770,424
3771,442
3772,519
3773,12
3774,520
3775,583
3776,559
3777,275
3778,285
3779,504
3780,643
3781,357
3782,357
3783,507
3784,628
3785,505
3786,399
3787,511
3788,519
3789,454
3790,357
3791,551
3792,644
3793,442
3794,494
3795,519
3796,529
3797,507
3798,355
3799,494
3800,575
3801,645
3802,504
3803,507
3804,507
3805,543
3806,551
3807,551
3808,551
3809,355
3810,578
3811,572
3812,357
3813,646
3814,494
3815,504
3816,520
3817,622
3818,580
3819,580
3820,507
3821,507
3822,494
3823,551
3824,469
3825,357
3826,538
3827,580
3828,546
3829,560
3830,551
3831,505
3832,494
3833,572
3834,539
3835,494
3836,647
3837,620
3838,533
3839,275
3840,442
3841,520
3842,578
3843,572
3844,575
3845,648
3846,538
3847,494
3848,557
3849,461
3850,580
3851,507
3852,494
3853,649
3854,647
3855,601
3856,650
3857,602
3858,579
3859,270
3860,538
3861,575
3862,651
3863,494
3864,538
3865,507
3866,546
3867,161
3868,575
3869,652
3870,494
3871,445
3872,577
3873,538
3874,538
3875,571
3876,538
3877,579
3878,653
3879,494
3880,442
3881,572
3882,538
3883,540
3884,520
3885,654
3886,571
3887,520
3888,494
3889,655
3890,656
3891,575
3892,494
3893,507
3894,507
3895,494
3896,560
3897,572
3898,572
3899,572
3900,516
3901,431
3902,431
3903,469
3904,649
3905,494
3906,579
3907,580
3908,572
3909,285
3910,25
3911,25
3912,494
3913,243
3914,543
3915,494
3916,546
3917,657
3918,538
3919,572
3920,68
3921,243
3922,306
3923,658
3924,658
3925,659
3926,660
3927,538
3928,571
3929,539
3930,661
3931,578
3932,571
3933,571
3934,662
3935,576
3936,576
3937,516
3938,661
3939,642
3940,658
3941,454
3942,663
3943,664
3944,324
3945,324
3946,620
3947,665
3948,494
3949,666
3950,638
3951,579
3952,579
3953,667
